"";"study";"condition_arm1";"condition_arm2";"multi_arm1";"multi_arm2";".g";".g_se";"outcome_type";"instrument";"rating";"mean_arm1";"sd_arm1";"n_arm1";"mean_arm2";"sd_arm2";"n_arm2";"mean_change_arm1";"sd_change_arm1";"n_change_arm1";"mean_change_arm2";"sd_change_arm2";"n_change_arm2";"dich_paper";"event_arm1";"event_arm2";"totaln_arm1";"totaln_arm2";"precalc_g";"precalc_g_se";"precalc_log_rr";"precalc_log_rr_se";"other_stat";"baseline_m_arm1";"baseline_sd_arm1";"baseline_n_arm1";"baseline_m_arm2";"baseline_sd_arm2";"baseline_n_arm2";"rand_arm1";"rand_arm2";"attr_arm1";"attr_arm2";"rand_ratio";"year";"time_weeks";"time";"comorbid_mental";"format";"format_details";"country";"age_group";"percent_women";"recruitment";"diagnosis";"target_group";"sg";"ac";"ba";"itt";"rob";"n_sessions_arm1";"mean_age";".log_rr";".log_rr_se";".event_arm1";".event_arm2";".totaln_arm1";".totaln_arm2";"full_ref";".id"
"1";"Aagaard, 2017";"cbt";"cau";NA;NA;0;0,231455024943138;"msd";"bdi-1";"self-report";17,5;12,6;40;17,5;12,4;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,5;14,1;42;24,1;12,3;38;42;38;2;3;1;2017;26;"post";"n";"grp";"grp";"eu";"adul";0,71;"clin";"chr";"adul";1;1;"sr";0;3;8;48;NA;NA;NA;NA;NA;NA;"Aagaard, J., Foldager, L., Makki, A., Hansen, V., & M¸ller-Nielsen, K. (2017). The efficacy of psychoeducation on recurrent depression: a randomized trial with a 2-year follow-up. Nord J Psychiatry, 71(3), 223-229.";"Aagaard_2017_msd_bdi-1_post_0_self-report_cbt_cau_NA_NA"
"2";"Abas, 2018";"pst";"cau";NA;NA;0,551649025934374;0,386464634602015;"msd";"dssq";"self-report";3,8;3,3;13;5,5;2,7;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,5;1,9;14;9,3;1,2;18;14;18;1;3;1;2018;26;"post";"n";"ind";"ind";"oth";"adul";0,66;"oth";"cut";"med";1;1;"sr";1;4;5;37,8;NA;NA;NA;NA;NA;NA;"Abas M, Nyamayaro P, Bere T, et al. Feasibility and acceptability of a task-shifted intervention to enhance adherence to HIV medication and improve depression in people living with HIV in Zimbabwe, a low income country in sub-Saharan Africa. AIDS and Behavior 2018; 22(1): 86-101.";"Abas_2018_msd_dssq_post_0_self-report_pst_cau_NA_NA"
"3";"Abas, 2018";"pst";"cau";NA;NA;0,710417767645097;0,391345090542833;"msd";"phq-9";"self-report";3,1;3,1;13;5,7;3,9;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,8;2,2;14;9,2;3,3;18;14;18;1;3;1;2018;26;"post";"n";"ind";"ind";"oth";"adul";0,66;"oth";"cut";"med";1;1;"sr";1;4;5;37,8;NA;NA;NA;NA;NA;NA;"Abas M, Nyamayaro P, Bere T, et al. Feasibility and acceptability of a task-shifted intervention to enhance adherence to HIV medication and improve depression in people living with HIV in Zimbabwe, a low income country in sub-Saharan Africa. AIDS and Behavior 2018; 22(1): 86-101.";"Abas_2018_msd_phq-9_post_0_self-report_pst_cau_NA_NA"
"4";"Abbas, 2023a";"cbt";"wl";NA;NA;2,21847255951162;0,326058962974006;"msd";"phq-9";"self-report";8,81;2,59;27;16,54;3,97;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,85;3,81;27;15,8;4,12;35;45;45;18;10;1;2023;17,38;"post";"n";"ind";"ind";"oth";"adul";0,55;"clin";"sub";"med";0;0;"sr";0;1;9;37,3;NA;NA;NA;NA;NA;NA;"Abbas, Q., Latif, S., Ayaz Habib, H., Shahzad, S., Sarwar, U., Shahzadi, M., . . . Washdev, W. (2023). Cognitive behavior therapy for diabetes distress, depression, health anxiety, quality of life and treatment adherence among patients with Type-II diabetes mellitus: A randomized control trial. BMC Psychiatry, 23. doi:10.1186/s12888-023-04546-w";"Abbas_2023_msd_phq-9_post_17.38_self-report_cbt_wl_NA_NA"
"5";"Abbas, 2023b";"cbt";"wl";NA;NA;2,15092925712007;0,281924880904353;"msd";"phq-9";"self-report";3,1;2,79;40;9,62;3,2;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11,7;4,23;63;9,92;3,42;63;63;63;23;23;1;2023;8;"post";"n";"ind";"ftf(ind)";"oth";"adul";0,59;"oth";"cut";"med";1;0;"sr";0;2;8;31,9;NA;NA;NA;NA;NA;NA;"Abbas, Q., Nisa, M., Khan, M. U., Anwar, N., Aljhani, S., Ramzan, Z., & Shahzadi, M. (2023). Brief cognitive behavior therapy for stigmatization, depression, quality of life, social support and adherence to treatment among patients with HIV/AIDS: a randomized control trial. BMC Psychiatry, 23(1), 539.";NA
"6";"Afonso, 2009";"lrt";"other ctr";"lrt";"other ctr";2,11678772486755;0,324030368506259;"msd";"ces-d";"self-report";13,6;5,14;30;30,57;9,94;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39,87;7,9;30;33,97;7,37;30;NA;NA;NA;NA;1;2009;0;"post";"n";"ind";"ind";"eu";"old";0,79;"clin";"cut";"old";0;0;"1";0;1;5;76;NA;NA;NA;NA;NA;NA;"Afonso, R., & Bueno, B. (2009). Efectos de un programa de reminiscencia sobre la sintomatología depresiva en una muestra de población mayor portuguesa. Revista Española de Geriatría y Gerontología, 44(6), 317-322.";"Alfonso_2009_msd_ces-d_post_0_self-report_lrt_otherctr_lrt_otherctr"
"7";"Afonso, 2009";"lrt";"cau";"lrt";"cau";2,81735746277113;0,36683055755002;"msd";"ces-d";"self-report";13,6;5,14;30;34,1;8,76;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39,87;7,9;30;30,93;7,07;30;NA;NA;NA;NA;1;2009;0;"post";"n";"ind";"ind";"eu";"old";0,79;"clin";"cut";"old";0;0;"1";0;1;5;76;NA;NA;NA;NA;NA;NA;"Afonso, R., & Bueno, B. (2009). Efectos de un programa de reminiscencia sobre la sintomatología depresiva en una muestra de población mayor portuguesa. Revista Española de Geriatría y Gerontología, 44(6), 317-322.";"Alfonso_2009_msd_ces-d_post_0_self-report_lrt_cau_lrt_cau"
"8";"Aguilar-Raab, 2023";"3rd";"cau";NA;NA;0,630474718832139;0,333599976871883;"msd";"hdrs-17";"clinician";16,8;11,8;23;24,5;12,2;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28,48;11,05;27;32,55;8,22;22;28;25;1;3;1;2023;10,5;"post";"n";"cpl";"cpl";"eu";"adul";1;"oth";"mood";"adul";0;1;"0";1;2;6;42;NA;NA;NA;NA;NA;NA;"Aguilar-Raab C, Winter F, Warth M, Stoffel M, Moessner M, Hernández C, et al. A compassion-based treatment for couples with the female partner suffering from current depressive disorder: A randomized-controlled trial. Journal of Affective Disorders. 2023;342:127-38.";NA
"9";"Ahmadpanah, 2016";"3rd";"cau";"3rd wave (mdm)";"cau";1,56819128194183;0,420272629687788;"msd";"bdi-1";"self-report";16,26;3,83;15;23,33;4,88;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24,26;5,12;15;22;5,53;15;15;15;NA;NA;1;2016;0;"post";"n";"ind";"ind";"oth";"adul";1;"oth";"sub";"med";1;1;"sr";0;3;8;36,49;NA;NA;NA;NA;NA;NA;"Ahmadpanah, M., Paghale, S. J., Bakhtyari, A., Kaikhavani, S., Aghaei, E., Nazaribadie, M., . . . Brand, S. (2016). Effects of psychotherapy in combination with pharmacotherapy, when compared to pharmacotherapy only on blood pressure, depression, and anxiety in female patients with hypertension.";"Ahmadpanah_2016_msd_bdi-1_post_0_self-report_3rd_cau_3rdwave(mdm)_cau"
"10";"Ahmadpanah, 2016";"other psy";"cau";"other psy (smt)";"cau";1,7788677477509;0,434791338210552;"msd";"bdi-1";"self-report";14,93;4,29;15;23,33;4,88;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,2;5,12;15;22;5,53;15;15;15;NA;NA;1;2016;0;"post";"n";"grp";"grp";"oth";"adul";1;"oth";"sub";"med";1;1;"sr";0;3;8;36,49;NA;NA;NA;NA;NA;NA;"Ahmadpanah, M., Paghale, S. J., Bakhtyari, A., Kaikhavani, S., Aghaei, E., Nazaribadie, M., . . . Brand, S. (2016). Effects of psychotherapy in combination with pharmacotherapy, when compared to pharmacotherapy only on blood pressure, depression, and anxiety in female patients with hypertension.";"Ahmadpanah_2016_msd_bdi-1_post_0_self-report_otherpsy_cau_otherpsy(smt)_cau"
